 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1900-Jul-10 00:00, , , 288.6416, -0.0119,   -0.00390,  186.3524,  107.2466728,
 1900-Jul-15 00:00, , , 293.4076, -0.0116,   -0.00385,  189.5812,  112.0164346,
 1900-Jul-20 00:00, , , 298.1772, -0.0110,   -0.00380,  194.3557,  116.7911869,
 1900-Jul-25 00:00, , , 302.9524, -0.0102,   -0.00375,  200.8908,  121.5666560,
 1900-Jul-30 00:00, , , 307.7328, -0.0094,   -0.00368,  206.8157,  126.3434824,
 1900-Aug-04 00:00, , , 312.5180, -0.0087,   -0.00361,  210.8391,  131.1255915,
 1900-Aug-09 00:00, , , 317.3082, -0.0080,   -0.00356,  213.5747,  135.9166303,
 1900-Aug-14 00:00, , , 322.1054, -0.0072,   -0.00351,  217.3520,  140.7177792,
 1900-Aug-19 00:00, , , 326.9127, -0.0061,   -0.00347,  223.9781,  145.5268665,
 1900-Aug-24 00:00, , , 331.7313, -0.0050,   -0.00340,  231.1073,  150.3440585,
 1900-Aug-29 00:00, , , 336.5608, -0.0040,   -0.00333,  236.1766,  155.1713622,
 1900-Sep-03 00:00, , , 341.4003, -0.0031,   -0.00327,  238.9778,  160.0103631,
 1900-Sep-08 00:00, , , 346.2498, -0.0021,   -0.00322,  241.1927,  164.8613128,
 1900-Sep-13 00:00, , , 351.1113, -0.0009,   -0.00318,  246.3010,  169.7239622,
 1900-Sep-18 00:00, , , 355.9873,  0.0003,   -0.00312,  254.1602,  174.6001133,
 1900-Sep-23 00:00, , ,   0.8784,  0.0015,   -0.00305,  261.0312,  179.4910620,
 1900-Sep-28 00:00, , ,   5.7836,  0.0025,   -0.00298,  265.2215,  184.3963839,
 1900-Oct-03 00:00, , ,  10.7017,  0.0034,   -0.00293,  267.3058,  189.3143780,
 1900-Oct-08 00:00, , ,  15.6320,  0.0045,   -0.00289,  269.9492,  194.2436133,
 1900-Oct-13 00:00, , ,  20.5764,  0.0057,   -0.00284,  276.5272,  199.1876006,
 1900-Oct-18 00:00, , ,  25.5366,  0.0068,   -0.00277,  284.5277,  204.1494902,
 1900-Oct-23 00:00, , ,  30.5124,  0.0077,   -0.00270,  290.6338,  209.1273301,
